feature,importance
lag_1,0.9653420602168614
day_of_week,0.011755209348662221
is_weekend,0.008946221411259123
days_since_launch,0.0022206751622843683
rolling_std_7,0.0018031900900707806
rolling_mean_7,0.0013465031818767654
discount,0.0010943102300790945
lag_7,0.0007764203036966616
rolling_std_14,0.0004934452404577362
rolling_std_28,0.000463864323904086
lag_56,0.0004411354193385411
lag_14,0.000405406928523322
sales_change_7d,0.0003826211087284693
rolling_mean_28,0.0003788039047745087
rolling_mean_32,0.00032212616769940964
inventory_coverage,0.00031165164946493244
rolling_std_32,0.0003002371205732575
lag_28,0.0002997791464582563
rolling_mean_14,0.0002997647699367138
on_hand_units,0.0002902546040827479
stock_gap,0.0002460910313380915
on_order_units,0.00022810494013810346
has_promo,0.00019928742209399935
reorder_point,0.00019575386922316942
unit_price,0.0001857750294564425
lead_time_days,0.00018108456826917228
week_sin,0.00016413930483701573
promo_flag,0.00015191925196227473
week_cos,0.00013588181715693445
month,0.00013226642877208898
month_sin,0.00012066703301057483
month_cos,9.276678054443127e-05
unit_cost,8.210631911368379e-05
quarter,7.833507109128626e-05
list_price,7.537915197379154e-05
is_holiday,3.124035169942032e-05
is_below_reorder_point,2.5521300587063624e-05
