sku_id,category,subcategory,forecast_demand_28d,on_hand_units,weeks_of_inventory,stockout_risk_score,overstock_risk_score,service_level,fill_rate
SKU0173,Furniture,Bookshelves,1833.4,1746.0,3.8,19.07,19.05,90.5,95.2
SKU0158,Furniture,Tables,1769.5,2435.0,5.5,0.0,35.04,96.9,100.0
SKU0193,Furniture,Sofas,1735.9,480.0,1.1,0.0,5.53,97.7,100.0
SKU0045,Kitchen,Cookware,1713.8999999999999,0.0,0.0,0.0,0.0,95.3,100.0
SKU0155,Storage,Cabinets,1691.2,1911.0,4.5,0.0,25.2,95.6,100.0
SKU0124,Bath,Shower Curtains,1611.3999999999999,1771.0,4.4,0.0,23.96,95.5,100.0
SKU0058,Bath,Shower Curtains,1524.95,2054.0,5.4,0.0,33.88,96.7,100.0
SKU0149,Bedding,Sheets,1503.85,553.0,1.5,0.0,7.35,96.1,100.0
SKU0052,Decor,Wall Art,1463.6000000000001,2047.0,5.6,0.0,35.94,97.0,100.0
SKU0112,Bedding,Sheets,1227.05,1177.0,3.8,16.32,19.18,91.1,95.9
SKU0098,Furniture,Chairs,1215.1000000000001,1127.0,3.7,0.0,18.55,95.2,100.0
SKU0012,Decor,Clocks,1153.0,1236.0,4.3,0.0,22.88,95.4,100.0
SKU0090,Kitchen,Utensils,1084.15,1098.0,4.1,0.0,20.51,95.3,100.0
SKU0140,Furniture,Chairs,1018.5500000000001,414.0,1.6,0.0,8.13,97.9,100.0
SKU0056,Bath,Robes,824.35,751.0,3.6,35.59,18.22,86.5,91.1
SKU0089,Bath,Shower Curtains,809.25,732.0,3.6,21.38,18.09,89.9,94.7
SKU0021,Decor,Clocks,717.95,560.0,3.1,0.0,15.6,100.0,100.0
SKU0180,Bedding,Blankets,685.05,788.0,4.6,0.0,26.01,95.8,100.0
SKU0144,Storage,Baskets,655.6,882.0,5.4,0.0,33.81,100.0,100.0
SKU0161,Decor,Vases,572.1,706.0,4.9,0.0,29.36,96.2,100.0
SKU0059,Decor,Lighting,542.1,752.0,5.5,0.0,35.49,97.5,100.0
SKU0120,Bath,Bath Mats,489.65000000000003,472.0,3.9,0.0,19.28,98.6,100.0
SKU0167,Bedding,Blankets,487.1,515.0,4.2,0.0,22.29,95.3,100.0
SKU0039,Decor,Mirrors,474.75,427.0,3.6,0.0,17.99,100.0,100.0
SKU0168,Rugs,Runner Rugs,467.04999999999995,586.0,5.0,0.0,30.19,100.0,100.0
SKU0017,Bath,Robes,450.79999999999995,501.0,4.4,0.0,24.45,96.8,100.0
SKU0102,Bedding,Comforters,348.54999999999995,475.0,5.5,0.0,34.51,100.0,100.0
SKU0034,Kitchen,Tableware,344.05,307.0,3.6,0.0,17.85,100.0,100.0
SKU0104,Decor,Wall Art,285.2,349.0,4.9,0.0,28.95,96.1,100.0
SKU0040,Furniture,Sofas,213.25,211.0,4.0,0.0,19.79,95.4,100.0
SKU0142,Decor,Mirrors,201.64999999999998,277.0,5.5,0.0,34.95,100.0,100.0
