sku_id,category,subcategory,overstock_risk_score,overstock_risk_level,weeks_of_inventory,on_hand_units,forecast_weekly_avg,excess_units,capital_locked,estimated_markdown_loss,recommendation
SKU0001,Decor,Lighting,100.0,Critical,27.9,3512.0,125.975,2504.0,376731.85,113019.55,URGENT MARKDOWN
SKU0011,Lighting,Table Lamps,100.0,Critical,54.9,2511.0,45.737500000000004,2145.0,1746669.13,524000.74,URGENT MARKDOWN
SKU0013,Rugs,Runner Rugs,100.0,Critical,58.3,2698.0,46.3125,2328.0,14265177.68,4279553.3,URGENT MARKDOWN
SKU0031,Lighting,Floor Lamps,100.0,Critical,23.2,2582.0,111.125,1693.0,5723508.17,1717052.45,URGENT MARKDOWN
SKU0037,Furniture,Storage Units,100.0,Critical,20.4,3013.0,147.41250000000002,1834.0,296876.03,89062.81,URGENT MARKDOWN
SKU0024,Bedding,Comforters,100.0,Critical,73.9,1814.0,24.55,1618.0,473503.87,142051.16,URGENT MARKDOWN
SKU0025,Furniture,Bookshelves,100.0,Critical,81.2,1009.0,12.424999999999999,910.0,481378.51,144413.55,URGENT MARKDOWN
SKU0146,Lighting,String Lights,100.0,Critical,49.7,3408.0,68.60000000000001,2859.0,4689059.41,1406717.82,URGENT MARKDOWN
SKU0153,Bath,Towels,100.0,Critical,87.6,1661.0,18.9625,1509.0,5722269.46,1716680.84,URGENT MARKDOWN
SKU0143,Kitchen,Storage Containers,100.0,Critical,83.4,2291.0,27.475,2071.0,10299684.07,3089905.22,URGENT MARKDOWN
SKU0118,Bedding,Pillows,100.0,Critical,62.8,695.0,11.075,606.0,2555442.37,766632.71,URGENT MARKDOWN
SKU0048,Lighting,Ceiling Lights,100.0,Critical,2213.6,2850.0,1.2875,2840.0,17882016.85,5364605.06,URGENT MARKDOWN
SKU0065,Furniture,Storage Units,100.0,Critical,137.5,4432.0,32.225,4174.0,1742561.53,522768.46,URGENT MARKDOWN
SKU0055,Kitchen,Storage Containers,100.0,Critical,24.2,272.0,11.25,182.0,594007.96,178202.39,URGENT MARKDOWN
SKU0050,Decor,Lighting,100.0,Critical,48.7,1009.0,20.724999999999998,843.0,6737783.54,2021335.06,URGENT MARKDOWN
SKU0061,Furniture,Chairs,100.0,Critical,42.5,1136.0,26.7,922.0,3225798.83,967739.65,URGENT MARKDOWN
SKU0084,Rugs,Area Rugs,100.0,Critical,56.7,3656.0,64.5,3140.0,1453380.4,436014.12,URGENT MARKDOWN
SKU0074,Storage,Shelves,100.0,Critical,84.0,1439.0,17.137500000000003,1302.0,177488.03,53246.41,URGENT MARKDOWN
SKU0066,Bath,Shower Curtains,100.0,Critical,45.8,958.0,20.924999999999997,791.0,274346.11,82303.83,URGENT MARKDOWN
SKU0080,Furniture,Sofas,100.0,Critical,248.3,3486.0,14.037500000000001,3374.0,4780229.27,1434068.78,URGENT MARKDOWN
SKU0105,Storage,Cabinets,100.0,Critical,130.7,165.0,1.2625,155.0,49016.56,14704.97,URGENT MARKDOWN
SKU0099,Storage,Shelves,100.0,Critical,97.7,2939.0,30.0875,2698.0,4728419.97,1418525.99,URGENT MARKDOWN
SKU0096,Rugs,Area Rugs,100.0,Critical,68.8,1635.0,23.75,1445.0,3123801.0,937140.3,URGENT MARKDOWN
SKU0111,Rugs,Runner Rugs,100.0,Critical,24.8,3917.0,157.7375,2655.0,14748682.24,4424604.67,URGENT MARKDOWN
SKU0188,Kitchen,Small Appliances,100.0,Critical,61.7,2443.0,39.575,2126.0,904060.22,271218.07,URGENT MARKDOWN
SKU0174,Lighting,Table Lamps,100.0,Critical,90.1,868.0,9.6375,791.0,260522.46,78156.74,URGENT MARKDOWN
SKU0160,Kitchen,Cookware,100.0,Critical,65.9,1973.0,29.925,1734.0,1747191.42,524157.43,URGENT MARKDOWN
SKU0072,Bedding,Pillows,98.06,Critical,19.2,1386.0,72.1,809.0,385980.31,115794.09,URGENT MARKDOWN
SKU0101,Furniture,Sofas,97.08,Critical,18.8,1720.0,91.325,989.0,423116.91,126935.07,URGENT MARKDOWN
SKU0129,Unknown,Mattress Toppers,93.87,Critical,17.5,676.0,38.525,368.0,685123.13,205536.94,URGENT MARKDOWN
SKU0053,Bath,Robes,89.79,Critical,15.9,2121.0,133.2625,1055.0,2159317.01,647795.1,URGENT MARKDOWN
SKU0184,Bedding,Sheets,84.35,Critical,13.7,1464.0,106.53750000000001,612.0,1140257.74,342077.32,URGENT MARKDOWN
SKU0176,Furniture,Bookshelves,83.18,Critical,13.3,4757.0,358.3875,1890.0,5269929.45,1580978.84,URGENT MARKDOWN
SKU0100,Furniture,Chairs,82.82,Critical,13.1,2430.0,185.125,949.0,2288712.79,686613.84,URGENT MARKDOWN
SKU0067,Bath,Towels,82.14,Critical,12.9,1366.0,106.2375,516.0,754651.74,226395.52,URGENT MARKDOWN
