sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point,unit_cost,list_price,category,subcategory,forecast_demand_28d,forecast_weekly_avg,stockout_risk_score,stockout_risk_level,stockout_days,stockout_action,stockout_shortfall,stockout_shortfall_pct,overstock_risk_score,overstock_risk_level,weeks_of_inventory,overstock_action,excess_weeks,lead_time_demand,safety_stock,total_required,reorder_quantity,units_at_risk,revenue_at_risk,excess_units,capital_locked,estimated_markdown_loss,service_level,fill_rate,recommendation,risk_quadrant
SKU0001,3512.0,156.0,13.0,1816.0,150.44,254.94,Decor,Lighting,503.9,125.975,0.0,Low,195.1,Monitor,0.0,0.0,100.0,Critical,27.9,URGENT - Markdown Required,15.9,234.0,47.0,281.0,0.0,0.0,0.0,2504.0,376731.85,113019.55,100.0,100.0,URGENT MARKDOWN,MARKDOWN / CLEAR
SKU0002,1918.0,102.0,10.0,1089.0,63.41,94.32,Decor,Clocks,996.15,249.0375,0.0,Low,53.9,Monitor,0.0,0.0,57.02,Medium,7.7,Review Stock,1.7,356.0,71.0,427.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Reduce Stock,MARKDOWN / CLEAR
SKU0003,0.0,0.0,11.0,751.0,5899.31,12869.1,Furniture,Bookshelves,0.8500000000000001,0.21250000000000002,100.0,Critical,0.0,URGENT REORDER,1.0,100.0,0.0,Low,0.0,Monitor,0.0,0.0,0.0,0.0,10.0,1.0,10938.74,0.0,0.0,0.0,0.0,0.0,URGENT REORDER,REORDER NOW
SKU0004,1200.0,1320.0,13.0,1415.0,1714.15,2747.09,Bedding,Blankets,793.45,198.3625,0.0,Low,42.3,Monitor,0.0,0.0,40.5,Medium,6.0,Review Stock,0.0,368.0,74.0,442.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Reduce Stock,MARKDOWN / CLEAR
SKU0005,3234.0,0.0,15.0,1607.0,733.22,1453.89,Kitchen,Small Appliances,1700.05,425.0125,0.0,Low,53.3,Monitor,0.0,0.0,56.09,Medium,7.6,Review Stock,1.6,911.0,182.0,1093.0,0.0,0.0,0.0,0.0,0.0,0.0,99.5,100.0,Reduce Stock,MARKDOWN / CLEAR
SKU0007,1460.0,172.0,14.0,1156.0,2748.96,6722.87,Bath,Towels,680.95,170.2375,0.0,Low,60.0,Monitor,0.0,0.0,62.88,High,8.6,Consider Markdown,0.6,340.0,68.0,409.0,0.0,0.0,0.0,98.0,269672.98,80901.89,100.0,100.0,Consider Markdown,MARKDOWN / CLEAR
SKU0008,76.0,157.0,4.0,171.0,5711.12,13724.93,Decor,Clocks,1095.05,273.7625,95.74,Critical,1.9,URGENT REORDER,862.0,78.7,1.39,Low,0.3,Monitor,0.0,156.0,31.0,188.0,0.0,862.0,11831575.91,0.0,0.0,0.0,20.2,21.3,URGENT REORDER,REORDER NOW
SKU0011,2511.0,0.0,16.0,1173.0,814.26,1389.77,Lighting,Table Lamps,182.95000000000002,45.737500000000004,0.0,Low,384.3,Monitor,0.0,0.0,100.0,Critical,54.9,URGENT - Markdown Required,42.9,105.0,21.0,125.0,0.0,0.0,0.0,2145.0,1746669.13,524000.74,100.0,100.0,URGENT MARKDOWN,MARKDOWN / CLEAR
SKU0012,1236.0,0.0,14.0,888.0,290.36,434.94,Decor,Clocks,1153.0,288.25,0.0,Low,30.0,Monitor,0.0,0.0,22.88,Low,4.3,Monitor,0.3,576.0,115.0,692.0,0.0,0.0,0.0,0.0,0.0,0.0,95.4,100.0,Maintain Current Level,HEALTHY
SKU0013,2698.0,0.0,26.0,2016.0,6128.97,11974.36,Rugs,Runner Rugs,185.25,46.3125,0.0,Low,407.8,Monitor,0.0,0.0,100.0,Critical,58.3,URGENT - Markdown Required,46.3,172.0,34.0,206.0,0.0,0.0,0.0,2328.0,14265177.68,4279553.3,100.0,100.0,URGENT MARKDOWN,MARKDOWN / CLEAR
