sku_id,category,subcategory,stockout_risk_score,stockout_risk_level,forecast_demand_28d,on_hand_units,on_order_units,stockout_days,reorder_quantity,revenue_at_risk,service_level,recommendation
SKU0003,Furniture,Bookshelves,100.0,Critical,0.8500000000000001,0.0,0.0,0.0,10.0,10938.74,0.0,URGENT REORDER
SKU0131,Decor,Wall Art,98.87,Critical,1186.4,26.0,41.0,0.6,140.0,271141.07,5.4,URGENT REORDER
SKU0029,Bedding,Mattress Toppers,98.47,Critical,731.2,56.0,0.0,2.1,110.0,390495.17,7.3,URGENT REORDER
SKU0049,Storage,Boxes,98.32,Critical,727.8499999999999,61.0,0.0,2.3,40.0,5122074.85,8.0,URGENT REORDER
SKU0073,Unknown,Floor Lamps,97.58,Critical,165.6,20.0,0.0,3.4,10.0,1170992.37,11.5,URGENT REORDER
SKU0121,Kitchen,Utensils,97.28,Critical,690.9000000000001,90.0,4.0,3.6,150.0,6755296.37,12.9,URGENT REORDER
SKU0092,Bedding,Blankets,96.17,Critical,537.75,83.0,20.0,4.3,0.0,6052772.09,18.2,URGENT REORDER
SKU0182,Bath,Robes,95.95,Critical,1746.5,134.0,220.0,2.1,470.0,19961097.6,19.3,URGENT REORDER
SKU0008,Decor,Clocks,95.74,Critical,1095.05,76.0,157.0,1.9,0.0,11831575.91,20.2,URGENT REORDER
SKU0038,Rugs,Area Rugs,94.98,Critical,1119.25,281.0,0.0,7.0,970.0,220459.75,23.9,URGENT REORDER
SKU0132,Bedding,Comforters,94.9,Critical,1338.4,341.0,0.0,7.1,0.0,187810.42,24.2,URGENT REORDER
SKU0108,Decor,Clocks,94.77,Critical,825.6,216.0,0.0,7.3,0.0,559350.67,24.9,URGENT REORDER
SKU0138,Bath,Robes,94.48,Critical,289.75,37.0,43.0,3.6,0.0,446203.27,26.2,URGENT REORDER
SKU0139,Storage,Shelves,93.96,Critical,2916.65,739.0,142.0,7.1,370.0,1855311.77,28.7,URGENT REORDER
SKU0147,Kitchen,Storage Containers,92.5,Critical,2113.65,793.0,0.0,10.5,0.0,11798792.75,35.6,URGENT REORDER
SKU0088,Bath,Robes,92.21,Critical,1379.1999999999998,537.0,0.0,10.9,0.0,6098942.9,37.0,URGENT REORDER
SKU0148,Bedding,Comforters,92.01,Critical,620.9000000000001,248.0,0.0,11.2,0.0,1619243.67,37.9,URGENT REORDER
SKU0154,Rugs,Area Rugs,91.58,Critical,1693.15,713.0,0.0,11.8,380.0,9774604.68,40.0,URGENT REORDER
SKU0116,Storage,Cabinets,90.71,Critical,2153.35,276.0,724.0,3.6,300.0,690037.77,44.1,URGENT REORDER
SKU0015,Decor,Wall Art,90.46,Critical,1298.0,619.0,0.0,13.4,0.0,5963242.81,45.3,URGENT REORDER
SKU0106,Bedding,Sheets,90.07,Critical,1220.85,0.0,606.0,0.0,0.0,2008776.43,47.2,URGENT REORDER
SKU0114,Bedding,Pillows,89.01,High,633.5,323.0,0.0,14.3,0.0,524881.62,48.4,Reorder Now
SKU0030,Lighting,String Lights,85.32,High,3178.3999999999996,946.0,792.0,8.3,0.0,1658851.06,51.9,Reorder Now
SKU0109,Rugs,Area Rugs,81.38,High,2335.4,1369.0,0.0,16.4,40.0,2712849.09,55.7,Reorder Now
SKU0196,Kitchen,Utensils,81.1,High,1516.1000000000001,893.0,0.0,16.5,0.0,1739128.18,56.0,Reorder Now
SKU0032,Decor,Lighting,80.86,High,1454.1499999999999,860.0,0.0,16.6,0.0,473959.4,56.2,Reorder Now
SKU0170,Bath,Accessories,79.93,High,2325.55,1397.0,0.0,16.8,0.0,1893907.72,57.1,Reorder Now
SKU0033,Decor,Clocks,74.36,High,763.1999999999999,501.0,0.0,18.4,0.0,664517.06,62.4,Reorder Now
SKU0189,Bath,Towels,72.17,High,1511.05,1025.0,0.0,19.0,0.0,713696.38,64.4,Reorder Now
SKU0192,Rugs,Area Rugs,70.78,High,2583.0,1623.0,165.0,17.6,430.0,441376.05,65.8,Reorder Now
SKU0091,Decor,Mirrors,70.46,High,1586.05,1103.0,0.0,19.5,0.0,1121052.78,66.1,Reorder Now
SKU0200,Decor,Mirrors,70.38,High,1597.3,918.0,194.0,16.1,0.0,327024.26,66.1,Reorder Now
