date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2022-01-02,SKU0001,1115,2212,13,1816
2022-01-09,SKU0001,1238,2776,13,1816
2022-01-16,SKU0001,1971,0,13,1816
2022-01-23,SKU0001,782,1128,13,1816
2022-01-30,SKU0001,1667,1086,13,1816
2022-02-06,SKU0001,705,2632,13,1816
2022-02-13,SKU0001,3635,0,13,1816
2022-02-20,SKU0001,2499,0,13,1816
2022-02-27,SKU0001,1215,2557,13,1816
2022-03-06,SKU0001,1297,2819,13,1816
2022-03-13,SKU0001,1888,0,13,1816
2022-03-20,SKU0001,1708,2871,13,1816
2022-03-27,SKU0001,1675,2138,13,1816
2022-04-03,SKU0001,1589,1831,13,1816
2022-04-10,SKU0001,1053,2041,13,1816
2022-04-17,SKU0001,772,2070,13,1816
2022-04-24,SKU0001,1395,1927,13,1816
2022-05-01,SKU0001,0,3422,13,1816
2022-05-08,SKU0001,296,3173,13,1816
2022-05-15,SKU0001,1632,1171,13,1816
2022-05-22,SKU0001,2800,0,13,1816
2022-05-29,SKU0001,1263,2505,13,1816
2022-06-05,SKU0001,1895,0,13,1816
2022-06-12,SKU0001,1230,1871,13,1816
2022-06-19,SKU0001,3860,0,13,1816
2022-06-26,SKU0001,2715,0,13,1816
2022-07-03,SKU0001,1991,0,13,1816
2022-07-10,SKU0001,814,2482,13,1816
2022-07-17,SKU0001,340,2696,13,1816
2022-07-24,SKU0001,1439,1202,13,1816
2022-07-31,SKU0001,1293,1909,13,1816
2022-08-07,SKU0001,751,2471,13,1816
2022-08-14,SKU0001,1565,3210,13,1816
2022-08-21,SKU0001,1223,3137,13,1816
2022-08-28,SKU0001,3534,0,13,1816
2022-09-04,SKU0001,2006,0,13,1816
2022-09-11,SKU0001,2535,98,13,1816
2022-09-18,SKU0001,3981,0,13,1816
2022-09-25,SKU0001,1930,473,13,1816
2022-10-02,SKU0001,1425,1999,13,1816
2022-10-09,SKU0001,2926,0,13,1816
2022-10-16,SKU0001,1938,0,13,1816
2022-10-23,SKU0001,957,2051,13,1816
2022-10-30,SKU0001,1843,0,13,1816
2022-11-06,SKU0001,1592,3024,13,1816
2022-11-13,SKU0001,883,1139,13,1816
2022-11-20,SKU0001,2325,336,13,1816
2022-11-27,SKU0001,4871,360,13,1816
2022-12-04,SKU0001,798,2112,13,1816
2022-12-11,SKU0001,2415,0,13,1816
2022-12-18,SKU0001,1176,2079,13,1816
2022-12-25,SKU0001,1500,2756,13,1816
2023-01-01,SKU0001,1504,2725,13,1816
2023-01-08,SKU0001,876,1984,13,1816
2023-01-15,SKU0001,2274,164,13,1816
2023-01-22,SKU0001,1040,1281,13,1816
2023-01-29,SKU0001,1964,0,13,1816
2023-02-05,SKU0001,1213,2942,13,1816
