date,sku_id,units_sold,revenue,unit_price,promo_flag
2024-10-12,SKU0001,0.0,0.0,267.18,0
2024-10-13,SKU0001,1.0,259.47,259.47,0
2024-10-14,SKU0001,1.0,249.58,249.58,0
2024-10-15,SKU0001,2.0,489.22,244.61,0
2024-10-16,SKU0001,2.0,528.2,264.1,0
2024-10-17,SKU0001,2.0,492.58,246.29,0
2024-10-18,SKU0001,3.0,762.3,254.1,0
2024-10-19,SKU0001,5.0,1293.95,258.79,0
2024-10-20,SKU0001,11.0,2728.66,248.06,1
2024-10-21,SKU0001,12.0,2340.72,195.06,1
2024-10-22,SKU0001,10.0,2182.9,218.29,1
2024-10-23,SKU0001,13.0,2304.77,177.29,1
2024-10-24,SKU0001,9.0,1814.31,201.59,1
2024-10-25,SKU0001,15.0,3053.25,203.55,1
2024-10-26,SKU0001,12.0,2262.24,188.52,1
2024-10-27,SKU0001,17.0,3706.34,218.02,1
2024-10-28,SKU0001,11.0,2302.96,209.36,1
2024-10-29,SKU0001,14.0,3226.86,230.49,1
2024-10-30,SKU0001,15.0,3766.8,251.12,1
2024-10-31,SKU0001,40.0,7704.0,192.6,1
2024-11-01,SKU0001,18.0,3837.06,213.17,1
2024-11-02,SKU0001,18.0,3741.3,207.85,1
2024-11-03,SKU0001,15.0,3308.25,220.55,1
2024-11-04,SKU0001,15.0,2846.4,189.76,1
2024-11-05,SKU0001,20.0,3829.8,191.49,1
2024-11-06,SKU0001,12.0,3059.64,254.97,0
2024-11-07,SKU0001,14.0,3616.9,258.35,0
2024-11-08,SKU0001,11.0,2850.76,259.16,0
2024-11-09,SKU0001,16.0,4261.12,266.32,0
2024-11-10,SKU0001,17.0,4275.16,251.48,0
2024-11-11,SKU0001,17.0,4442.61,261.33,0
2024-11-12,SKU0001,18.0,4388.4,243.8,0
2024-11-13,SKU0001,16.0,4022.08,251.38,0
2024-11-14,SKU0001,17.0,4461.14,262.42,0
2024-11-15,SKU0001,13.0,3452.8,265.6,0
2024-11-16,SKU0001,14.0,3551.38,253.67,0
2024-11-17,SKU0001,16.0,4213.76,263.36,0
2024-11-18,SKU0001,13.0,3272.36,251.72,0
2024-11-19,SKU0001,13.0,3395.86,261.22,0
2024-11-20,SKU0001,14.0,3393.74,242.41,0
2024-11-21,SKU0001,13.0,3246.62,249.74,0
2024-11-22,SKU0001,12.0,3186.96,265.58,0
2024-11-23,SKU0001,16.0,4224.32,264.02,0
2024-11-24,SKU0001,19.0,4706.11,247.69,0
2024-11-25,SKU0001,11.0,2900.59,263.69,0
2024-11-26,SKU0001,17.0,4265.13,250.89,0
2024-11-27,SKU0001,17.0,4400.79,258.87,0
2024-11-28,SKU0001,14.0,3741.5,267.25,0
2024-11-29,SKU0001,7.0,1830.99,261.57,0
2024-11-30,SKU0001,9.0,2308.59,256.51,0
2024-12-01,SKU0001,15.0,3883.05,258.87,0
2024-12-02,SKU0001,14.0,3642.66,260.19,0
2024-12-03,SKU0001,17.0,4299.81,252.93,0
2024-12-04,SKU0001,12.0,2958.36,246.53,0
2024-12-05,SKU0001,11.0,2798.73,254.43,0
2024-12-06,SKU0001,10.0,2610.7,261.07,0
2024-12-07,SKU0001,17.0,4440.74,261.22,0
2024-12-08,SKU0001,15.0,3978.45,265.23,0
2024-12-09,SKU0001,12.0,3143.4,261.95,0
2024-12-10,SKU0001,13.0,3156.53,242.81,0
2024-12-11,SKU0001,13.0,3255.46,250.42,0
2024-12-12,SKU0001,15.0,3860.1,257.34,0
2024-12-13,SKU0001,12.0,3117.96,259.83,0
2024-12-14,SKU0001,15.0,3966.15,264.41,0
2024-12-15,SKU0001,18.0,4613.94,256.33,0
2024-12-16,SKU0001,12.0,3111.12,259.26,0
2024-12-17,SKU0001,11.0,2719.53,247.23,0
2024-12-18,SKU0001,10.0,2474.7,247.47,0
2024-12-19,SKU0001,10.0,2509.8,250.98,0
2024-12-20,SKU0001,11.0,2674.21,243.11,0
2024-12-21,SKU0001,18.0,4597.92,255.44,0
2024-12-22,SKU0001,13.0,3349.19,257.63,0
2024-12-23,SKU0001,12.0,3027.0,252.25,0
2024-12-24,SKU0001,10.0,2444.8,244.48,0
2024-12-25,SKU0001,17.0,4499.73,264.69,0
2024-12-26,SKU0001,14.0,3550.12,253.58,0
2024-12-27,SKU0001,14.0,3545.22,253.23,0
2024-12-28,SKU0001,21.0,5193.3,247.3,0
2024-12-29,SKU0001,15.0,3647.7,243.18,0
2024-12-30,SKU0001,14.0,3684.52,263.18,0
2024-12-31,SKU0001,11.0,2915.22,265.02,0
2024-05-13,SKU0002,0.0,0.0,97.6,0
2024-05-14,SKU0002,1.0,97.41,97.41,0
2024-05-15,SKU0002,2.0,185.9,92.95,0
2024-05-16,SKU0002,2.0,195.18,97.59,0
2024-05-17,SKU0002,3.0,281.97,93.99,0
2024-05-18,SKU0002,6.0,588.36,98.06,0
2024-05-19,SKU0002,5.0,479.05,95.81,0
2024-05-20,SKU0002,7.0,637.7,91.1,0
2024-05-21,SKU0002,4.0,368.44,92.11,0
2024-05-22,SKU0002,6.0,560.28,93.38,0
2024-05-23,SKU0002,9.0,851.94,94.66,0
2024-05-24,SKU0002,7.0,669.2,95.6,0
2024-05-25,SKU0002,13.0,1233.05,94.85,0
2024-05-26,SKU0002,11.0,1067.77,97.07,0
2024-05-27,SKU0002,10.0,928.6,92.86,0
2024-05-28,SKU0002,9.0,863.28,95.92,0
2024-05-29,SKU0002,13.0,1177.28,90.56,0
2024-05-30,SKU0002,12.0,1163.16,96.93,0
2024-05-31,SKU0002,8.0,783.04,97.88,0
2024-06-01,SKU0002,20.0,1428.4,71.42,1
2024-06-02,SKU0002,20.0,1565.6,78.28,1
2024-06-03,SKU0002,22.0,1648.24,74.92,1
2024-06-04,SKU0002,14.0,1197.28,85.52,1
2024-06-05,SKU0002,19.0,1442.48,75.92,1
2024-06-06,SKU0002,29.0,1894.86,65.34,1
2024-06-07,SKU0002,29.0,2632.62,90.78,1
2024-06-08,SKU0002,27.0,2288.52,84.76,1
2024-06-09,SKU0002,33.0,2288.88,69.36,1
2024-06-10,SKU0002,22.0,1707.42,77.61,1
2024-06-11,SKU0002,31.0,2441.87,78.77,1
2024-06-12,SKU0002,27.0,2369.25,87.75,1
2024-06-13,SKU0002,34.0,2761.14,81.21,1
